Fullname	CCY	Last	+/-	%	Bid	Ask	Volume	Turnover	Updated (CET)
Marimekko Oyj	EUR	10.48	+0.02	+0.19%	10.44	10.50	1,838	19,282	09:24:44
Matas	DKK	99.00	-0.20	-0.20%	98.80	99.00	42,234	4,186,899	09:24:31
MedCap	SEK	563.00	+1.50	+0.26%	563.00	565.50	566	318,352	09:25:48
Medicover B	SEK	215.50	+1.50	+0.70%	215.00	216.00	1,614	347,542	09:25:34
MEKO	SEK	77.70	+0.45	+0.58%	77.40	77.75	4,510	349,453	09:25:48
Meren Energy	SEK	15.70	-0.02	-0.12%	15.66	15.70	99,166	1,552,323	09:26:19
Metsä Board Oyj B	EUR	2.87	-0.032	-1.10%	2.86	2.872	12,310	35,622	09:25:32
Mildef Group	SEK	183.60	+2.20	+1.21%	183.50	183.90	22,991	4,174,329	09:26:03
Mips	SEK	255.20	+2.20	+0.86%	254.20	255.20	3,238	821,365	09:26:16
Moberg Pharma	SEK	10.96	0.00	0.00%	10.96	11.04	243	2,677	09:24:49
Modern Times Group B	SEK	134.80	-0.20	-0.14%	134.20	134.80	9,602	1,292,741	09:25:14
Momentum Group B	SEK	116.60	0.00	0.00%	116.20	117.40	3,394	396,998	09:22:54
MT Højgaard Holding	DKK	327.50	-2.50	-0.75%	324.50	329.00	82	26,904	09:25:51
Munters Group	SEK	201.40	-1.20	-0.59%	200.90	201.50	13,145	2,665,200	09:25:46
Musti Group Oyj	EUR	16.10			16.05	17.80			09:23:14
Mycronic	SEK	296.20	-0.60	-0.20%	295.40	296.20	5,841	1,732,033	09:26:08
NCAB Group	SEK	75.80	-2.10	-2.69%	75.90	76.30	8,633	661,285	09:26:19
NCC B	SEK	194.40	+0.10	+0.05%	194.00	194.40	3,596	697,274	09:25:42
Nederman Holding	SEK	119.60	-0.40	-0.33%	119.60	120.00	43,226	5,186,964	09:25:03
Nelly Group	SEK	35.98	+0.18	+0.50%	35.84	36.00	36,542	1,314,908	09:25:32
Neobo Fastigheter	SEK	17.33	+0.01	+0.05%	17.27	17.33	17,363	300,061	09:25:21
Net Insight B	SEK	4.035	-0.005	-0.12%	3.995	4.035	55,173	221,716	09:25:00
Netcompany Group	DKK	342.90	+4.70	+1.38%	342.00	343.20	5,345	1,825,417	09:26:14
Netel Holding	SEK	3.845	+0.035	+0.91%	3.80	3.87	11,372	43,359	09:25:18
New Wave B	SEK	99.00	+0.65	+0.66%	98.80	99.00	9,336	924,143	09:26:16
Nightingale Health Oyj B	EUR	0.90	+0.006	+0.67%	0.896	0.90	24,672	22,165	09:25:26
Nilörngruppen B	SEK	74.50	0.00	0.00%	74.50	74.60	7,125	530,824	09:15:25
Nivika Fastigheter B	SEK	38.40	+0.10	+0.26%	38.00	38.40	1,090	41,637	09:24:40
NNIT	DKK	40.35	-1.05	-2.53%	40.80	41.25	155	6,306	09:18:17
NOBA Bank Group	SEK	80.80	+0.90	+1.12%	80.70	80.90	49,544	4,008,467	09:26:32
Nobia	SEK	17.67	+0.05	+0.28%	17.50	17.65	7,297	128,820	09:26:23
Nokian Renkaat Oyj	EUR	10.32	+0.03	+0.29%	10.33	10.35	12,433	128,488	09:26:17
Nolato B	SEK	50.30	-0.20	-0.39%	50.30	50.40	5,679	285,916	09:25:27
Nordnet	SEK	315.20	+0.80	+0.25%	314.20	315.20	5,613	1,767,264	09:26:15
Norion Bank	SEK	56.40	+0.80	+1.43%	56.20	56.40	90,673	5,082,871	09:26:07
North Media	DKK	47.40	+0.30	+0.63%	47.40	47.70	2,293	108,373	09:23:28
NOTE	SEK	180.20	-2.70	-1.47%	180.20	180.90	1,143	208,250	09:25:34
Nova Klúbburinn	ISK	3.54							00:00:00
NP3 Fastigheter	SEK	273.00	-2.00	-0.72%	273.00	274.00	344	94,257	09:25:03
NTG Nordic Transport Group	DKK	196.00	+1.00	+0.51%	196.00	197.00	3,712	727,238	09:24:57
